account_name,eosdac,pkrdac
111chaka1111,2845.0205 EOSDAC,5.7192 PKRDAC
111eramos111,2476.9158 EOSDAC,4.9792 PKRDAC
1234superman,100.0000 EOSDAC,0.2010 PKRDAC
13r3ec5eosda,14025.4609 EOSDAC,28.1948 PKRDAC
13tkcc1jeosd,5176.6769 EOSDAC,10.4065 PKRDAC
13ukcd3eosda,2905.5330 EOSDAC,5.8409 PKRDAC
13wkac4geosd,74.4000 EOSDAC,0.1496 PKRDAC
13wkjcgeosda,30092.0000 EOSDAC,60.4928 PKRDAC
14r32eosdac1,86896.9205 EOSDAC,174.6856 PKRDAC
14t33c1geosd,5.0000 EOSDAC,0.0101 PKRDAC
14t3adgeosda,6558.5946 EOSDAC,13.1845 PKRDAC
14t3cc5eosda,6533.0857 EOSDAC,13.1332 PKRDAC
14tk4d3eosda,6118.0781 EOSDAC,12.2989 PKRDAC
14u5eosdac11,1036400.3716 EOSDAC,2083.4362 PKRDAC
14v3ed5eosda,4812.0990 EOSDAC,9.6736 PKRDAC
14w33e1teosd,200.6201 EOSDAC,0.4033 PKRDAC
14wkee1qeosd,185.5320 EOSDAC,0.3730 PKRDAC
15eosdac1111,2500000.0000 EOSDAC,5025.6547 PKRDAC
15eosdac1112,2500000.0000 EOSDAC,5025.6547 PKRDAC
15eosdac1113,2500000.0000 EOSDAC,5025.6547 PKRDAC
15eosdac1114,2500000.0000 EOSDAC,5025.6547 PKRDAC
15eosdac1115,2500000.0000 EOSDAC,5025.6547 PKRDAC
1cw5eosdac11,234330.0000 EOSDAC,471.0647 PKRDAC
1edrodrigues,138.7509 EOSDAC,0.2789 PKRDAC
1gtkaeosdac1,100.0000 EOSDAC,0.2010 PKRDAC
1guk5cgeosda,1452.4233 EOSDAC,2.9198 PKRDAC
1gukae5eosda,1430.0000 EOSDAC,2.8747 PKRDAC
1gv5eosdac11,10.1334 EOSDAC,0.0204 PKRDAC
1lukestokes1,4063.1946 EOSDAC,8.1681 PKRDAC
1mvk1eosdac1,14854.8235 EOSDAC,29.8621 PKRDAC
1wonderwoman,100.0000 EOSDAC,0.2010 PKRDAC
1wv33eosdac1,10896.6639 EOSDAC,21.9051 PKRDAC
1wwgeosdac11,108636.6974 EOSDAC,218.3882 PKRDAC
222eramos222,2051.3123 EOSDAC,4.1237 PKRDAC
24r3geosdac1,9357.5818 EOSDAC,18.8112 PKRDAC
25t31eosdac1,10092.3033 EOSDAC,20.2882 PKRDAC
2lukestokes2,15.0000 EOSDAC,0.0302 PKRDAC
432111111111,1.0000 EOSDAC,0.0020 PKRDAC
abracatabra1,1000.0000 EOSDAC,2.0103 PKRDAC
abracatabra2,1000.0000 EOSDAC,2.0103 PKRDAC
abracatabra3,1000.0000 EOSDAC,2.0103 PKRDAC
afurmanczyk1,265106.1620 EOSDAC,532.9328 PKRDAC
afurmanczyk2,200003.0000 EOSDAC,402.0584 PKRDAC
ahn3224qudgh,16487.8813 EOSDAC,33.1450 PKRDAC
ajdkkjd12345,573.4653 EOSDAC,1.1528 PKRDAC
alchemicalme,162837.0000 EOSDAC,327.3450 PKRDAC
alcrypto1522,78100.0000 EOSDAC,157.0015 PKRDAC
all4shambala,100.0000 EOSDAC,0.2010 PKRDAC
alxbransby12,2183.3035 EOSDAC,4.3890 PKRDAC
amazonriver1,1.0000 EOSDAC,0.0020 PKRDAC
androidlinux,10.0000 EOSDAC,0.0201 PKRDAC
andytome1212,301632.4238 EOSDAC,606.3602 PKRDAC
angeljeffrey,100.0000 EOSDAC,0.2010 PKRDAC
anmongsang44,269805.6094 EOSDAC,542.3799 PKRDAC
appleateosio,582.0304 EOSDAC,1.1700 PKRDAC
appreciateit,1.0000 EOSDAC,0.0020 PKRDAC
aprilpeterpa,10.0000 EOSDAC,0.0201 PKRDAC
astronomised,18667.2350 EOSDAC,37.5260 PKRDAC
avantituttaa,1501.8300 EOSDAC,3.0191 PKRDAC
awesomekimkn,50.0000 EOSDAC,0.1005 PKRDAC
awesomeosdac,500.0000 EOSDAC,1.0051 PKRDAC
backtomyhome,55.7924 EOSDAC,0.1122 PKRDAC
bankofkorea1,1.0000 EOSDAC,0.0020 PKRDAC
bankpolskisa,1364.7576 EOSDAC,2.7435 PKRDAC
beawakeosdac,25.0000 EOSDAC,0.0503 PKRDAC
bestlnh11111,1000.0000 EOSDAC,2.0103 PKRDAC
bestlnheosio,1000.0000 EOSDAC,2.0103 PKRDAC
bestlnhoneos,1000.0000 EOSDAC,2.0103 PKRDAC
bestmywallet,55.7477 EOSDAC,0.1121 PKRDAC
betatestrain,10.0000 EOSDAC,0.0201 PKRDAC
bigbluewhale,222.9900 EOSDAC,0.4483 PKRDAC
biomaterials,1000.0000 EOSDAC,2.0103 PKRDAC
blueportugal,19733.8900 EOSDAC,39.6703 PKRDAC
brendonrossi,4634.5317 EOSDAC,9.3166 PKRDAC
brightarmour,1.0000 EOSDAC,0.0020 PKRDAC
brmeoswallet,2006.0697 EOSDAC,4.0327 PKRDAC
captainkarma,50.9140 EOSDAC,0.1024 PKRDAC
carigurdvnkj,10138.2010 EOSDAC,20.3804 PKRDAC
carloseisenb,559.4036 EOSDAC,1.1245 PKRDAC
catchone1225,400873.1785 EOSDAC,805.8601 PKRDAC
chairking111,322.0732 EOSDAC,0.6475 PKRDAC
chairking222,269.7601 EOSDAC,0.5423 PKRDAC
chairking333,114.2315 EOSDAC,0.2296 PKRDAC
chairking444,235.5887 EOSDAC,0.4736 PKRDAC
chairking555,149.8410 EOSDAC,0.3012 PKRDAC
chairkingeos,238.7513 EOSDAC,0.4800 PKRDAC
chargelancer,1.0000 EOSDAC,0.0020 PKRDAC
chen4joselee,4900.8390 EOSDAC,9.8520 PKRDAC
cheng1wallet,11682.2758 EOSDAC,23.4844 PKRDAC
chfkjptvaijd,1595.6506 EOSDAC,3.2077 PKRDAC
chooyongyeon,30308.2113 EOSDAC,60.9274 PKRDAC
chriswalker1,15175.6375 EOSDAC,30.5070 PKRDAC
clintbairdrp,1375.7096 EOSDAC,2.7655 PKRDAC
coffeeandeos,8925.0615 EOSDAC,17.9417 PKRDAC
coingamesstl,100.0000 EOSDAC,0.2010 PKRDAC
coinnam12345,557.0297 EOSDAC,1.1198 PKRDAC
conanewtable,5.0000 EOSDAC,0.0101 PKRDAC
conceptskip1,1351.3227 EOSDAC,2.7165 PKRDAC
conquerthek2,1.0000 EOSDAC,0.0020 PKRDAC
cosmiccredit,61448.3035 EOSDAC,123.5272 PKRDAC
cream5eosdac,1.0000 EOSDAC,0.0020 PKRDAC
crossrubicon,1525.6616 EOSDAC,3.0670 PKRDAC
crownshcrown,100000.2539 EOSDAC,201.0267 PKRDAC
cryptoevgeny,1221.3064 EOSDAC,2.4551 PKRDAC
cryptostates,10009.0000 EOSDAC,20.1207 PKRDAC
cryptowolfe1,3041.2194 EOSDAC,6.1136 PKRDAC
currychicken,50201.0050 EOSDAC,100.9172 PKRDAC
cutiemonster,699.6000 EOSDAC,1.4064 PKRDAC
daclivingeos,1.0000 EOSDAC,0.0020 PKRDAC
dallas4mayor,10.0000 EOSDAC,0.0201 PKRDAC
dallasjohnso,216395.6700 EOSDAC,435.0120 PKRDAC
danmuji.dice,52.5116 EOSDAC,0.1056 PKRDAC
danysofeosss,2081.2500 EOSDAC,4.1839 PKRDAC
db2ss2rm5sr1,2007.0424 EOSDAC,4.0347 PKRDAC
deniscarrier,4287.5535 EOSDAC,8.6191 PKRDAC
dexterzzzzzz,15000.6930 EOSDAC,30.1553 PKRDAC
disderisusia,37429.5027 EOSDAC,75.2431 PKRDAC
distributed1,2.0000 EOSDAC,0.0040 PKRDAC
dividendonly,2.6773 EOSDAC,0.0054 PKRDAC
doctorpascal,140000.0000 EOSDAC,281.4367 PKRDAC
donationtome,49.0000 EOSDAC,0.0985 PKRDAC
dongjuneoskr,5041.5642 EOSDAC,10.1349 PKRDAC
dragonhaerts,32.0000 EOSDAC,0.0643 PKRDAC
dragonticket,3959.9743 EOSDAC,7.9606 PKRDAC
dropthetoken,64764.9184 EOSDAC,130.1944 PKRDAC
edenharris22,10.0000 EOSDAC,0.0201 PKRDAC
eeeeeeeebank,1.0000 EOSDAC,0.0020 PKRDAC
elderberries,9.9900 EOSDAC,0.0201 PKRDAC
electriwhale,4567890.0000 EOSDAC,9182.6551 PKRDAC
emceesgamble,1525.1908 EOSDAC,3.0660 PKRDAC
eocurrencyio,23000.0000 EOSDAC,46.2360 PKRDAC
eos111eosdac,1000100.0000 EOSDAC,2010.4629 PKRDAC
eos114wallet,500.0000 EOSDAC,1.0051 PKRDAC
eos121game11,353321.4864 EOSDAC,710.2687 PKRDAC
eosacclogank,350553.7553 EOSDAC,704.7048 PKRDAC
eosalialieos,2.0271 EOSDAC,0.0041 PKRDAC
eosbankseoul,100.0000 EOSDAC,0.2010 PKRDAC
eosbins12345,51425.3423 EOSDAC,103.3784 PKRDAC
eosblackma45,324366.9963 EOSDAC,652.0626 PKRDAC
eosbuzzwords,9971.5804 EOSDAC,20.0455 PKRDAC
eoschairking,50.5813 EOSDAC,0.1017 PKRDAC
eosclara3333,11.0000 EOSDAC,0.0221 PKRDAC
eoscryptojoe,1.0000 EOSDAC,0.0020 PKRDAC
eosdac12345m,295073.7493 EOSDAC,593.1755 PKRDAC
eosdacattack,200.0000 EOSDAC,0.4021 PKRDAC
eosdacceo111,100.0000 EOSDAC,0.2010 PKRDAC
eosdacforall,1.0000 EOSDAC,0.0020 PKRDAC
eosdachodler,1.0000 EOSDAC,0.0020 PKRDAC
eosdackorean,124365.8096 EOSDAC,250.0078 PKRDAC
eosdaclambos,3000.0010 EOSDAC,6.0308 PKRDAC
eosdacselect,1162038.1987 EOSDAC,2336.0011 PKRDAC
eosdacthekor,500000.0000 EOSDAC,1005.1309 PKRDAC
eosdactopuss,1.0000 EOSDAC,0.0020 PKRDAC
eosdacwemade,459.0000 EOSDAC,0.9227 PKRDAC
eosdacyikong,13879.3203 EOSDAC,27.9011 PKRDAC
eosdev.x,10421.3169 EOSDAC,20.9496 PKRDAC
eosdocthedoc,596716.0817 EOSDAC,1199.5556 PKRDAC
eosfartkings,1.0000 EOSDAC,0.0020 PKRDAC
