account_name,poker,pkrdac
1111111111hk,2.6250 POKER,2.6250 PKRDAC
111111511111,1.3793 POKER,1.3793 PKRDAC
111aaabbbccc,12.8850 POKER,12.8850 PKRDAC
12123wangjin,2.1760 POKER,2.1760 PKRDAC
1234512345hj,2.5079 POKER,2.5079 PKRDAC
12345aazzaaz,1.6458 POKER,1.6458 PKRDAC
112345hedada,14.4526 POKER,14.4526 PKRDAC
1234512345pb,20115.9370 POKER,20115.9370 PKRDAC
1212dongfang,2.2591 POKER,2.2591 PKRDAC
12345abcdvbc,1.5467 POKER,1.5467 PKRDAC
12345mytoken,2.4567 POKER,2.4567 PKRDAC
11yuandanjie,1.1390 POKER,1.1390 PKRDAC
12345qwerasd,10.0000 POKER,10.0000 PKRDAC
12345liuping,9.3735 POKER,9.3735 PKRDAC
12345marmarm,20.1810 POKER,20.1810 PKRDAC
12345sunweng,1.4474 POKER,1.4474 PKRDAC
11234.e,1.2838 POKER,1.2838 PKRDAC
114111111111,7.5147 POKER,7.5147 PKRDAC
1234lijunhua,2.8411 POKER,2.8411 PKRDAC
12345asdfgqw,5.5939 POKER,5.5939 PKRDAC
13555liuenbo,2.7877 POKER,2.7877 PKRDAC
12345woshili,4.9695 POKER,4.9695 PKRDAC
14wkee4teosd,14.3055 POKER,14.3055 PKRDAC
1314baiyanwu,1498.6501 POKER,1498.6501 PKRDAC
14t3actqeosd,5.0001 POKER,5.0001 PKRDAC
151313212141,1.0800 POKER,1.0800 PKRDAC
15432zhangzz,1.3807 POKER,1.3807 PKRDAC
15baobaokang,1.0000 POKER,1.0000 PKRDAC
1a2b3c4d5com,1214.0715 POKER,1214.0715 PKRDAC
123wjxlhz123,1.4822 POKER,1.4822 PKRDAC
1chevchelios,5.9046 POKER,5.9046 PKRDAC
1eos4danibot,3.0940 POKER,3.0940 PKRDAC
1kevinfelton,36.5750 POKER,36.5750 PKRDAC
1wuminchuan1,9.0934 POKER,9.0934 PKRDAC
1wjwjwjwjwj1,4.0585 POKER,4.0585 PKRDAC
1jiyuanfang1,1388.6748 POKER,1388.6748 PKRDAC
24242424kobe,4.7837 POKER,4.7837 PKRDAC
1wanliangfen,13.8432 POKER,13.8432 PKRDAC
232xiahuan11,1.9765 POKER,1.9765 PKRDAC
333333333btc,1.5974 POKER,1.5974 PKRDAC
3333eos33333,2577.0853 POKER,2577.0853 PKRDAC
2y2soncuatro,1.0000 POKER,1.0000 PKRDAC
333ooooooooo,740.7650 POKER,740.7650 PKRDAC
3333rexcarla,1.0919 POKER,1.0919 PKRDAC
434ykyld3f3i,2408.5000 POKER,2408.5000 PKRDAC
4blockchains,2.0000 POKER,2.0000 PKRDAC
4fun4fun4fun,2.0500 POKER,2.0500 PKRDAC
51dappslucky,16.9350 POKER,16.9350 PKRDAC
41mircoeos11,1195.0890 POKER,1195.0890 PKRDAC
444444.x,1.0625 POKER,1.0625 PKRDAC
44444mikefly,1.2480 POKER,1.2480 PKRDAC
52314azghfdf,2.5197 POKER,2.5197 PKRDAC
4ydooooooooo,1.0351 POKER,1.0351 PKRDAC
52heyi13yong,1.0000 POKER,1.0000 PKRDAC
35afozefft3g,31.9457 POKER,31.9457 PKRDAC
51eosaccount,75.5311 POKER,75.5311 PKRDAC
51meetoneyes,23.0398 POKER,23.0398 PKRDAC
55dddddddddd,3.1762 POKER,3.1762 PKRDAC
451pcbdotcom,14.1631 POKER,14.1631 PKRDAC
3415zycblair,75.3909 POKER,75.3909 PKRDAC
5tatpil1j2fk,1.5085 POKER,1.5085 PKRDAC
aaaaaa111113,1.1425 POKER,1.1425 PKRDAC
aaaaaaaa1111,1.7500 POKER,1.7500 PKRDAC
5lisqkvt1n2q,20.4300 POKER,20.4300 PKRDAC
aaaaaa123314,2.1728 POKER,2.1728 PKRDAC
aaaaaaachain,5.4261 POKER,5.4261 PKRDAC
a1b2c1111111,18.7564 POKER,18.7564 PKRDAC
aaameditator,2.6891 POKER,2.6891 PKRDAC
a12stitch345,3.0729 POKER,3.0729 PKRDAC
aabbcczz1234,6.2144 POKER,6.2144 PKRDAC
abababab5541,1.8085 POKER,1.8085 PKRDAC
abc123eos234,5.7234 POKER,5.7234 PKRDAC
aabbccdd1314,3.4070 POKER,3.4070 PKRDAC
abcdefgh4315,1.1982 POKER,1.1982 PKRDAC
aabbcc555555,17.8750 POKER,17.8750 PKRDAC
aabbccdd5555,2.8611 POKER,2.8611 PKRDAC
abceich12345,3.2995 POKER,3.2995 PKRDAC
aaabb1342521,2.2199 POKER,2.2199 PKRDAC
abcdefb12345,1.1144 POKER,1.1144 PKRDAC
